STATION,STATION_NAME,DATE,HPCP,Measurement Flag,Quality Flag
COOP:190770,BOSTON MA US,19480501 01:00,0,g, 
COOP:190770,BOSTON MA US,19480507 15:00,0.25, , 
COOP:190770,BOSTON MA US,19480507 16:00,1.52, , 
COOP:190770,BOSTON MA US,19480507 17:00,1.78, , 
COOP:190770,BOSTON MA US,19480507 18:00,1.27, , 
COOP:190770,BOSTON MA US,19480507 19:00,1.27, , 
COOP:190770,BOSTON MA US,19480507 20:00,0.25, , 
COOP:190770,BOSTON MA US,19480507 21:00,3.56, , 
COOP:190770,BOSTON MA US,19480507 22:00,2.03, , 
COOP:190770,BOSTON MA US,19480507 23:00,3.3, , 
COOP:190770,BOSTON MA US,19480508 00:00,1.27, , 
COOP:190770,BOSTON MA US,19480508 01:00,4.06, , 
COOP:190770,BOSTON MA US,19480508 02:00,0.25, , 
COOP:190770,BOSTON MA US,19480510 18:00,0.25, , 
COOP:190770,BOSTON MA US,19480510 19:00,0.25, , 
COOP:190770,BOSTON MA US,19480512 15:00,4.32, , 
COOP:190770,BOSTON MA US,19480513 04:00,0.25, , 
COOP:190770,BOSTON MA US,19480513 07:00,0.51, , 
COOP:190770,BOSTON MA US,19480513 08:00,0.76, , 
COOP:190770,BOSTON MA US,19480513 09:00,1.27, , 
COOP:190770,BOSTON MA US,19480513 10:00,0.51, , 
COOP:190770,BOSTON MA US,19480513 11:00,1.02, , 
COOP:190770,BOSTON MA US,19480513 12:00,1.78, , 
COOP:190770,BOSTON MA US,19480513 13:00,1.27, , 
COOP:190770,BOSTON MA US,19480513 14:00,0.25, , 
COOP:190770,BOSTON MA US,19480513 16:00,0.25, , 
COOP:190770,BOSTON MA US,19480514 00:00,0.25, , 
COOP:190770,BOSTON MA US,19480514 01:00,0.25, , 
COOP:190770,BOSTON MA US,19480514 02:00,0.25, , 
COOP:190770,BOSTON MA US,19480514 03:00,0.25, , 
COOP:190770,BOSTON MA US,19480514 04:00,0.51, , 
COOP:190770,BOSTON MA US,19480514 05:00,0.25, , 
COOP:190770,BOSTON MA US,19480514 06:00,1.27, , 
COOP:190770,BOSTON MA US,19480514 07:00,0.25, , 
COOP:190770,BOSTON MA US,19480514 08:00,0.51, , 
COOP:190770,BOSTON MA US,19480514 09:00,0.51, , 
COOP:190770,BOSTON MA US,19480514 10:00,0.25, , 
COOP:190770,BOSTON MA US,19480514 13:00,0.25, , 
COOP:190770,BOSTON MA US,19480514 17:00,0.25, , 
COOP:190770,BOSTON MA US,19480514 20:00,0.25, , 
COOP:190770,BOSTON MA US,19480516 16:00,1.02, , 
COOP:190770,BOSTON MA US,19480516 17:00,1.02, , 
COOP:190770,BOSTON MA US,19480516 18:00,0.76, , 
COOP:190770,BOSTON MA US,19480516 21:00,0.76, , 
COOP:190770,BOSTON MA US,19480516 22:00,1.02, , 
COOP:190770,BOSTON MA US,19480516 23:00,2.29, , 
COOP:190770,BOSTON MA US,19480517 01:00,0.25, , 
COOP:190770,BOSTON MA US,19480517 02:00,1.27, , 
COOP:190770,BOSTON MA US,19480517 03:00,0.51, , 
COOP:190770,BOSTON MA US,19480517 04:00,0.76, , 
COOP:190770,BOSTON MA US,19480517 05:00,1.02, , 
COOP:190770,BOSTON MA US,19480517 06:00,0.25, , 
COOP:190770,BOSTON MA US,19480517 07:00,0.25, , 
COOP:190770,BOSTON MA US,19480517 08:00,0.51, , 
COOP:190770,BOSTON MA US,19480517 09:00,0.25, , 
COOP:190770,BOSTON MA US,19480517 20:00,2.29, , 
COOP:190770,BOSTON MA US,19480517 21:00,3.81, , 
COOP:190770,BOSTON MA US,19480517 22:00,0.76, , 
COOP:190770,BOSTON MA US,19480518 02:00,0.76, , 
COOP:190770,BOSTON MA US,19480518 03:00,1.02, , 
COOP:190770,BOSTON MA US,19480518 04:00,1.52, , 
COOP:190770,BOSTON MA US,19480518 05:00,2.54, , 
COOP:190770,BOSTON MA US,19480518 06:00,2.54, , 
COOP:190770,BOSTON MA US,19480518 07:00,1.78, , 
COOP:190770,BOSTON MA US,19480518 09:00,5.84, , 
COOP:190770,BOSTON MA US,19480518 10:00,1.52, , 
COOP:190770,BOSTON MA US,19480518 11:00,0.25, , 
COOP:190770,BOSTON MA US,19480518 15:00,0.51, , 
COOP:190770,BOSTON MA US,19480518 17:00,1.52, , 
COOP:190770,BOSTON MA US,19480518 18:00,0.25, , 
COOP:190770,BOSTON MA US,19480518 20:00,0.25, , 
COOP:190770,BOSTON MA US,19480521 13:00,0.51, , 
COOP:190770,BOSTON MA US,19480521 21:00,0.25, , 
COOP:190770,BOSTON MA US,19480521 22:00,0.25, , 
COOP:190770,BOSTON MA US,19480521 23:00,0.25, , 
COOP:190770,BOSTON MA US,19480522 02:00,2.03, , 
COOP:190770,BOSTON MA US,19480522 05:00,2.29, , 
COOP:190770,BOSTON MA US,19480522 06:00,3.81, , 
COOP:190770,BOSTON MA US,19480522 07:00,0.76, , 
COOP:190770,BOSTON MA US,19480522 08:00,0.76, , 
COOP:190770,BOSTON MA US,19480525 20:00,0.25, , 
COOP:190770,BOSTON MA US,19480525 21:00,0.76, , 
COOP:190770,BOSTON MA US,19480525 22:00,0.76, , 
COOP:190770,BOSTON MA US,19480525 23:00,0.25, , 
COOP:190770,BOSTON MA US,19480526 05:00,0.51, , 
COOP:190770,BOSTON MA US,19480526 09:00,0.25, , 
COOP:190770,BOSTON MA US,19480529 18:00,0.51, , 
COOP:190770,BOSTON MA US,19480530 06:00,4.06, , 
COOP:190770,BOSTON MA US,19480530 07:00,1.78, , 
COOP:190770,BOSTON MA US,19480530 08:00,4.57, , 
COOP:190770,BOSTON MA US,19480530 09:00,5.08, , 
COOP:190770,BOSTON MA US,19480530 10:00,3.05, , 
COOP:190770,BOSTON MA US,19480530 11:00,2.54, , 
COOP:190770,BOSTON MA US,19480530 12:00,1.52, , 
COOP:190770,BOSTON MA US,19480530 13:00,4.57, , 
COOP:190770,BOSTON MA US,19480530 14:00,2.29, , 
COOP:190770,BOSTON MA US,19480530 15:00,1.02, , 
COOP:190770,BOSTON MA US,19480530 17:00,0.51, , 
COOP:190770,BOSTON MA US,19480530 18:00,2.54, , 
COOP:190770,BOSTON MA US,19480530 19:00,1.78, , 
COOP:190770,BOSTON MA US,19480530 20:00,0.76, , 
COOP:190770,BOSTON MA US,19480530 21:00,0.76, , 
COOP:190770,BOSTON MA US,19480530 22:00,0.25, , 
COOP:190770,BOSTON MA US,19480530 23:00,0.25, , 
COOP:190770,BOSTON MA US,19480531 00:00,1.27, , 
COOP:190770,BOSTON MA US,19480531 01:00,1.27, , 
COOP:190770,BOSTON MA US,19480531 02:00,2.54, , 
COOP:190770,BOSTON MA US,19480531 03:00,1.27, , 
COOP:190770,BOSTON MA US,19480531 04:00,0.25, , 
COOP:190770,BOSTON MA US,19480531 08:00,0.25, , 
COOP:190770,BOSTON MA US,19480601 01:00,0,g, 
COOP:190770,BOSTON MA US,19480605 11:00,1.27, , 
COOP:190770,BOSTON MA US,19480605 12:00,4.06, , 
COOP:190770,BOSTON MA US,19480605 13:00,3.81, , 
COOP:190770,BOSTON MA US,19480605 14:00,6.6, , 
COOP:190770,BOSTON MA US,19480605 15:00,1.52, , 
